14  7 15  7  6 13    38.694843  7.5046E-06      
14  6 13  7  5 11    38.702473  1.7293E-05     *
14  7 13  7  6 11    38.702473  6.4943E-06      
14  5 11  7  4  9    38.713215  2.2540E-05     *
14  6 11  7  5  9    38.713215  1.4598E-05     *
14  2  5  7  3  7    38.723534  1.0099E-06      
14  4  9  7  3  7    38.729439  2.1422E-05     *
14  5  9  7  4  7    38.729439  1.8366E-05     *
14  1  3  7  2  5    38.745682  1.4276E-06      
14  3  7  7  2  5    38.756794  1.5994E-05     *
14  4  7  7  3  5    38.756794  1.6525E-05     *
14  0  1  7  1  3    38.782455  1.6466E-06      
14  2  3  7  1  3    38.805084  1.0352E-06      
14  2  5  7  1  3    38.812500  9.3172E-06      
14  3  5  7  2  3    38.812500  1.1196E-05     *
14  1  1  7  0  1    38.963978  1.8381E-06      
14  2  3  7  1  1    38.986603  5.1762E-06      
14  1  3  7  0  1    38.986603  3.6763E-06      
14  6 13  6  5 11    57.331116  1.2412E-05     *
14  5 11  6  4  9    57.348782  2.5819E-05     *
14  6 11  6  5  9    57.348782  1.0478E-05     *
14  4  9  6  3  7    57.375416  2.9535E-05     *
14  5  9  6  4  7    57.375416  2.1038E-05     *
14  1  3  6  2  5    57.409039  1.6536E-06      
14  3  5  6  2  5    57.416454  1.1864E-06      
14  3  7  6  2  5    57.420151  2.3727E-05     *
14  4  7  6  3  5    57.420151  2.2784E-05     *
14  0  1  6  1  3    57.480755  2.1301E-06      
14  2  3  6  1  3    57.503384  1.5579E-06      
14  2  5  6  1  3    57.510799  1.4021E-05     *
14  3  5  6  2  3    57.510799  1.6609E-05     *
14  1  1  6  0  1    57.769226  2.7037E-06      
14  0  1  6  1  1    57.769226  1.0650E-06      
14  1  3  6  0  1    57.791855  5.4074E-06      
14  2  3  6  1  1    57.791855  7.7893E-06      
14  5 11  5  4  9    88.246178  2.2821E-05     *
14  4  7  5  3  7    88.291039  1.1433E-06      
14  4  9  5  3  7    88.293251  4.0014E-05     *
14  5  9  5  4  7    88.293251  1.8595E-05     *
14  1  3  5  2  5    88.361046  1.9121E-06      
14  3  5  5  2  5    88.368462  1.8619E-06      
14  3  7  5  2  5    88.372154  3.7239E-05     *
14  4  7  5  3  5    88.372154  3.0868E-05     *
14  1  1  5  2  3    88.501457  1.0623E-06      
14  0  1  5  1  3    88.501457  2.8746E-06      
14  2  3  5  1  3    88.524086  2.5374E-06      
14  3  5  5  2  3    88.531502  2.6067E-05     *
14  2  5  5  1  3    88.531502  2.2836E-05     *
14  0  1  5  1  1    89.000404  1.4373E-06      
14  1  1  5  0  1    89.000404  4.3063E-06      
14  1  3  5  0  1    89.023033  8.6125E-06      
14  2  3  5  1  1    89.023033  1.2687E-05     *
