12  7 15  7  6 13    34.037041  3.8829E-05     *
12  6 13  7  5 11    34.044205  7.5287E-05     *
12  7 13  7  6 11    34.044205  3.3602E-05     *
12  3  7  7  4  9    34.048473  1.9732E-06      
12  5  9  7  4  9    34.051983  1.6184E-06      
12  5 11  7  4  9    34.054329  8.7392E-05     *
12  6 11  7  5  9    34.054329  6.3554E-05     *
12  2  5  7  3  7    34.060307  3.4892E-06      
12  3  5  7  4  7    34.060307  1.5222E-06      
12  4  7  7  3  7    34.066174  2.1982E-06      
12  4  9  7  3  7    34.069687  7.6936E-05     *
12  5  9  7  4  7    34.069687  7.1208E-05     *
12  2  3  7  3  5    34.078091  2.4424E-06      
12  1  3  7  2  5    34.078091  4.2631E-06      
12  3  5  7  2  5    34.089874  2.7158E-06      
12  4  7  7  3  5    34.095741  5.9351E-05     *
12  3  7  7  2  5    34.095741  5.4317E-05     *
12  0  1  7  1  3    34.101547  5.6038E-06      
12  1  1  7  2  3    34.101547  2.3684E-06      
12  2  3  7  1  3    34.137493  3.2873E-06      
12  2  5  7  1  3    34.149273  2.9585E-05     *
12  3  5  7  2  3    34.149273  3.8022E-05     *
12  1  1  7  0  1    34.283066  5.2189E-06      
12  0  1  7  1  1    34.283066  2.8019E-06      
12  2  3  7  1  1    34.319012  1.6436E-05     *
12  1  3  7  0  1    34.319012  1.0438E-05     *
12  6 13  6  5 11    52.672848  5.4180E-05     *
12  3  7  6  4  9    52.684040  1.4494E-06      
12  5  9  6  4  9    52.687557  1.8579E-06      
12  6 11  6  5  9    52.689896  4.5737E-05     *
12  5 11  6  4  9    52.689896  1.0033E-04    **
12  3  5  6  4  7    52.706284  1.1181E-06      
12  2  5  6  3  7    52.706284  3.3632E-06      
12  4  7  6  3  7    52.712151  3.0352E-06      
12  5  9  6  4  7    52.715668  8.1747E-05     *
12  4  9  6  3  7    52.715668  1.0623E-04    **
12  2  3  6  3  5    52.741447  2.3542E-06      
12  1  3  6  2  5    52.741447  4.8628E-06      
12  3  5  6  2  5    52.753227  4.0302E-06      
12  4  7  6  3  5    52.759094  8.1949E-05     *
12  3  7  6  2  5    52.759094  8.0604E-05     *
12  1  1  6  2  3    52.799843  2.7016E-06      
12  0  1  6  1  3    52.799843  7.1736E-06      
12  2  3  6  1  3    52.835793  4.9389E-06      
12  3  5  6  2  3    52.847576  5.6423E-05     *
12  2  5  6  1  3    52.847576  4.4450E-05     *
12  0  1  6  1  1    53.088314  3.5868E-06      
12  1  1  6  0  1    53.088314  7.6470E-06      
12  2  3  6  1  1    53.124264  2.4694E-05     *
12  1  3  6  0  1    53.124264  1.5294E-05     *
12  5  9  5  4  9    83.584946  1.6450E-06      
12  5 11  5  4  9    83.587288  8.8829E-05     *
12  2  5  5  3  7    83.624123  2.9673E-06      
12  4  7  5  3  7    83.629990  4.1174E-06      
12  4  9  5  3  7    83.633507  1.4411E-04    **
12  5  9  5  4  7    83.633507  7.2379E-05     *
12  2  3  5  3  5    83.693451  2.0771E-06      
12  1  3  5  2  5    83.693451  5.5552E-06      
12  3  5  5  2  5    83.705231  6.3285E-06      
12  4  7  5  3  5    83.711105  1.1117E-04    **
12  3  7  5  2  5    83.711105  1.2657E-04    **
12  0  1  5  1  3    83.820541  9.6040E-06      
12  1  1  5  2  3    83.820541  3.0862E-06      
12  2  3  5  1  3    83.856491  8.0379E-06      
12  2  5  5  1  3    83.868279  7.2341E-05     *
12  3  5  5  2  3    83.868279  8.8599E-05     *
12  1  1  5  0  1    84.319489  1.2149E-05     *
12  0  1  5  1  1    84.319489  4.8020E-06      
12  2  3  5  1  1    84.355438  4.0189E-05     *
12  1  3  5  0  1    84.355438  2.4298E-05     *
