11  2  5  4  3  7   137.171600  3.8228E-06      
11  4  7  4  3  7   137.179230  9.9793E-06      
11  4  9  4  3  7   137.183792  3.4928E-04    **
11  5 11  4  3  7   137.186829  2.0573E-06      
11  1  3  4  2  5   137.314651  1.0529E-05     *
11  2  3  4  3  5   137.314651  2.6759E-06      
11  3  5  4  2  5   137.329941  2.1224E-05     *
11  3  7  4  2  5   137.337570  4.2448E-04    **
11  4  7  4  3  5   137.337570  2.6944E-04    **
11  5  9  4  3  5   137.342133  1.6164E-06      
11  0  1  4  1  3   137.586365  2.6910E-05     *
11  1  1  4  2  3   137.586365  5.8494E-06      
11  1  3  4  2  3   137.633057  1.1699E-06      
11  2  3  4  1  3   137.633057  2.7664E-05     *
11  2  5  4  1  3   137.648346  2.4898E-04    **
11  3  5  4  2  3   137.648346  2.9714E-04    **
11  0  1  4  1  1   138.561935  1.3455E-05     *
11  1  1  4  0  1   138.561935  3.6725E-05     *
11  2  3  4  1  1   138.608612  1.3832E-04    **
11  1  3  4  0  1   138.608612  7.3450E-05     *
11  1  3  3  2  5   260.274628  9.5645E-06      
11  3  5  3  2  5   260.289917  3.4481E-05     *
11  3  7  3  2  5   260.297546  6.8961E-04    **
11  4  9  3  2  5   260.302094  4.6412E-06      
11  0  1  3  1  3   260.981873  4.0042E-05     *
11  1  1  3  2  3   260.981873  5.3136E-06      
11  2  3  3  1  3   261.028595  5.9283E-05     *
11  1  3  3  2  3   261.028595  1.0627E-06      
11  2  5  3  1  3   261.043884  5.3355E-04    **
11  3  5  3  2  3   261.043884  4.8273E-04    **
11  4  7  3  2  3   261.051514  3.3417E-06      
11  0  1  3  1  1   263.296722  2.0021E-05     *
11  1  1  3  0  1   263.296722  7.8647E-05     *
11  2  3  3  1  1   263.343414  2.9642E-04    **
11  1  3  3  0  1   263.343414  1.5729E-04    **
